RegionName,City,State,Metro,CountyName,SizeRank,Cost,Bedrooms
Fordham,New York,NY,New York,Bronx,85,1300,1
Sunnyside,New York,NY,New York,Queens,88,1995,1
Greenwich Village,New York,NY,New York,New York,90,3350,1
Rego Park,New York,NY,New York,Queens,92,1875,1
Morningside Heights,New York,NY,New York,New York,93,2795,1
Kew Gardens Hills,New York,NY,New York,Queens,94,1600,1
Ocean Hill,New York,NY,New York,Kings,97,1600,1
Morris Heights,New York,NY,New York,Bronx,99,1350,1
Parkchester,New York,NY,New York,Bronx,100,1300,1
Ocean Parkway,New York,NY,New York,Kings,101,1512.5,1
Inwood,New York,NY,New York,New York,104,1450,1
Norwood,New York,NY,New York,Bronx,105,1350,1
Dyker Heights,New York,NY,New York,Kings,107,1375,1
Wakefield,New York,NY,New York,Bronx,108,1350,1
Morris Park,New York,NY,New York,Bronx,109,1425,1
Fort Greene,New York,NY,New York,Kings,117,2900,1
Greenwood,New York,NY,New York,Kings,120,2200,1
Greenpoint,New York,NY,New York,Kings,122,2350,1
Kingsbridge,New York,NY,New York,Bronx,123,1400,1
Prospect-Lefferts Gardens,New York,NY,New York,Kings,126,1675,1
Homecrest,New York,NY,New York,Kings,132,1500,1
Fort Hamilton,New York,NY,New York,Kings,134,1600,1
Hell's Kitchen / Clinton,New York,NY,New York,New York,137,3200,1
Financial District,New York,NY,New York,New York,141,3560,1
Briarwood,New York,NY,New York,Queens,142,1600,1
Brighton Beach,New York,NY,New York,Kings,143,1625,1
Flatiron,New York,NY,New York,New York,144,3925,1
Pelham Bay,New York,NY,New York,Bronx,149,1350,1
Clinton Hill,New York,NY,New York,Kings,153,2425,1
West Village,New York,NY,New York,New York,158,3650,1
Kew Gardens,New York,NY,New York,Queens,159,1800,1
Brooklyn Heights,New York,NY,New York,New York,164,2997,1
Columbus Circle,New York,NY,New York,New York,168,3400,1
Sutton Place,New York,NY,New York,New York,170,3295,1
Wingate,New York,NY,New York,Kings,175,1500,1
Gowanus,New York,NY,New York,Kings,178,2500,1
Prospect Heights,New York,NY,New York,Kings,181,2300,1
Turtle Bay,New York,NY,New York,New York,184,3250,1
Midtown,New York,NY,New York,New York,185,3500,1
Tribeca,New York,NY,New York,New York,193,4400,1
Spuyten Duyvil,New York,NY,New York,Bronx,197,1950,1
Tudor City,New York,NY,New York,New York,202,3172.5,1
Battery Park City,New York,NY,New York,New York,204,3715,1
Jamaica Estates,New York,NY,New York,Queens,213,1650,1
Riverdale,New York,NY,New York,Bronx,214,1800,1
Carroll Gardens,New York,NY,New York,Kings,221,2665,1
Boerum Hill,New York,NY,New York,Kings,225,2925,1
SoHo,New York,NY,New York,New York,235,3095,1
Hunters Point,New York,NY,New York,Queens,236,2900,1
Murray Hill,New York,NY,New York,New York,245,3395,1
Downtown Brooklyn,New York,NY,New York,Kings,253,3080,1
Little Italy,New York,NY,New York,New York,260,3199,1
Windsor Terrace,New York,NY,New York,Kings,267,2400,1
Cobble Hill,New York,NY,New York,Kings,275,2850,1
NoHo,New York,NY,New York,New York,289,3950,1
Garment District,New York,NY,New York,New York,304,3600,1
Central Park,New York,NY,New York,New York,333,3100,1
DUMBO,New York,NY,New York,Kings,335,3881,1
city,New York,NY,New York,,,2200,1
metro,New York,NY,New York,,,2100,1
Upper West Side,New York,NY,New York,New York,4,4500,2
Upper East Side,New York,NY,New York,New York,7,3700,2
East New York,New York,NY,New York,Kings,9,1600,2
Washington Heights,New York,NY,New York,New York,12,2000,2
Astoria,New York,NY,New York,Queens,14,2400,2
Williamsburg,New York,NY,New York,Kings,18,3150,2
Bedford-Stuyvesant,New York,NY,New York,Kings,19,2300,2
Flatbush,New York,NY,New York,Kings,22,2050,2
Crown Heights,New York,NY,New York,Kings,23,2395,2
Jamaica,New York,NY,New York,Queens,24,1850,2
Harlem,New York,NY,New York,New York,25,2350,2
Williamsbridge,New York,NY,New York,Bronx,27,1550,2
Bushwick,New York,NY,New York,Kings,28,2300,2
East Flatbush,New York,NY,New York,Kings,30,1700,2
Corona,New York,NY,New York,Queens,34,2075,2
Sunset Park,New York,NY,New York,Kings,35,2000,2
Concourse,New York,NY,New York,Bronx,36,1599.5,2
Elmhurst,New York,NY,New York,Queens,40,2200,2
Bensonhurst,New York,NY,New York,Kings,43,1750,2
Lower East Side,New York,NY,New York,New York,47,3500,2
Canarsie,New York,NY,New York,Kings,48,1725,2
Flushing,New York,NY,New York,Queens,51,2200,2
Murray Hill (Queens),New York,NY,New York,Queens,54,2100,2
Sheepshead Bay,New York,NY,New York,Kings,55,1950,2
Gravesend,New York,NY,New York,Kings,57,1850,2
Forest Hills,New York,NY,New York,Queens,60,2490,2
East Village,New York,NY,New York,New York,62,3350,2
Ridgewood,New York,NY,New York,Queens,66,2000,2
Jackson Heights,New York,NY,New York,Queens,68,2200,2
Midwood,New York,NY,New York,Kings,72,1995,2
Park Slope,New York,NY,New York,Kings,76,2950,2
Gramercy,New York,NY,New York,New York,80,3995,2
Bay Ridge,New York,NY,New York,Kings,81,2000,2
Tremont & East Tremont,New York,NY,New York,Bronx,85,1600,2
Kensington,New York,NY,New York,Kings,88,2200,2
Bath Beach,New York,NY,New York,Kings,91,1785,2
University Heights,New York,NY,New York,Bronx,97,1595,2
Bayside,New York,NY,New York,Queens,99,1950,2
Bedford Park,New York,NY,New York,Bronx,100,1650,2
Maspeth,New York,NY,New York,Queens,102,1900,2
Hamilton Heights,New York,NY,New York,New York,104,2350,2
Chelsea,New York,NY,New York,New York,108,5200,2
Woodside,New York,NY,New York,Queens,110,2175,2
Fordham,New York,NY,New York,Bronx,117,1550,2
Sunnyside,New York,NY,New York,Queens,121,2400,2
Greenwich Village,New York,NY,New York,New York,123,4100,2
Coney Island,New York,NY,New York,Kings,127,2250,2
Rego Park,New York,NY,New York,Queens,130,2300,2
Morningside Heights,New York,NY,New York,New York,131,2650,2
Kew Gardens Hills,New York,NY,New York,Queens,132,1950,2
Ocean Hill,New York,NY,New York,Kings,135,1900,2
Parkchester,New York,NY,New York,Bronx,139,1550,2
Ocean Parkway,New York,NY,New York,Kings,141,2000,2
Inwood,New York,NY,New York,New York,144,2100,2
Dyker Heights,New York,NY,New York,Kings,147,1800,2
Morris Park,New York,NY,New York,Bronx,149,1750,2
Fort Greene,New York,NY,New York,Kings,161,3828,2
Greenwood,New York,NY,New York,Kings,165,2500,2
Greenpoint,New York,NY,New York,Kings,167,2700,2
Kingsbridge,New York,NY,New York,Bronx,168,1750,2
Glendale,New York,NY,New York,Queens,172,1800,2
Prospect-Lefferts Gardens,New York,NY,New York,Kings,173,2200,2
Homecrest,New York,NY,New York,Kings,180,1900,2
Fort Hamilton,New York,NY,New York,Kings,182,2200,2
Hell's Kitchen / Clinton,New York,NY,New York,New York,185,4392,2
Financial District,New York,NY,New York,New York,190,5099,2
Briarwood,New York,NY,New York,Queens,191,1800,2
Brighton Beach,New York,NY,New York,Kings,193,2200,2
Marine Park,New York,NY,New York,Kings,198,2416,2
Pelham Bay,New York,NY,New York,Bronx,201,1650,2
Clinton Hill,New York,NY,New York,Kings,206,3114,2
West Village,New York,NY,New York,New York,216,4597.5,2
Kew Gardens,New York,NY,New York,Queens,217,2275,2
Brooklyn Heights,New York,NY,New York,New York,224,4500,2
Columbus Circle,New York,NY,New York,New York,228,4880,2
Sutton Place,New York,NY,New York,New York,231,4500,2
Belmont,New York,NY,New York,Bronx,237,1650,2
Gowanus,New York,NY,New York,Kings,241,3225,2
Prospect Heights,New York,NY,New York,Kings,243,2800,2
Turtle Bay,New York,NY,New York,New York,246,4495,2
Midtown,New York,NY,New York,New York,247,5520,2
Tribeca,New York,NY,New York,New York,258,6095,2
Spuyten Duyvil,New York,NY,New York,Bronx,263,2550,2
Tudor City,New York,NY,New York,New York,268,4700,2
Battery Park City,New York,NY,New York,New York,270,6200,2
Riverdale,New York,NY,New York,Bronx,283,2299.5,2
Carroll Gardens,New York,NY,New York,Kings,287,3025,2
Boerum Hill,New York,NY,New York,Kings,292,3475,2
SoHo,New York,NY,New York,New York,305,4900,2
Hunters Point,New York,NY,New York,Queens,307,3800,2
Murray Hill,New York,NY,New York,New York,319,4750,2
Downtown Brooklyn,New York,NY,New York,Kings,327,4270,2
Little Italy,New York,NY,New York,New York,334,3875,2
Windsor Terrace,New York,NY,New York,Kings,341,3200,2
Cobble Hill,New York,NY,New York,Kings,350,4337.5,2
Garment District,New York,NY,New York,New York,379,4895,2
Columbia Street Waterfront District,New York,NY,New York,Kings,394,2975,2
Central Park,New York,NY,New York,New York,402,4800,2
DUMBO,New York,NY,New York,Kings,403,5436,2
city,New York,NY,New York,,,2500,2
metro,New York,NY,New York,,,2460,2
Upper West Side,New York,NY,New York,New York,4,6500,3
Upper East Side,New York,NY,New York,New York,7,6000,3
East New York,New York,NY,New York,Kings,9,2000,3
Washington Heights,New York,NY,New York,New York,13,2600,3
Astoria,New York,NY,New York,Queens,14,3000,3
Williamsburg,New York,NY,New York,Kings,17,3850,3
Bedford-Stuyvesant,New York,NY,New York,Kings,18,2750,3
Flatbush,New York,NY,New York,Kings,22,2400,3
Crown Heights,New York,NY,New York,Kings,23,2800,3
Harlem,New York,NY,New York,New York,25,2900,3
Williamsbridge,New York,NY,New York,Bronx,26,1800,3
East Harlem,New York,NY,New York,New York,27,3300,3
Bushwick,New York,NY,New York,Kings,28,2800,3
East Flatbush,New York,NY,New York,Kings,30,2062.5,3
Corona,New York,NY,New York,Queens,34,2400,3
Sunset Park,New York,NY,New York,Kings,35,2300,3
Bensonhurst,New York,NY,New York,Kings,39,2100,3
Lower East Side,New York,NY,New York,New York,45,4745,3
Canarsie,New York,NY,New York,Kings,46,2000,3
Flushing,New York,NY,New York,Queens,52,2500,3
Murray Hill (Queens),New York,NY,New York,Queens,54,2325,3
Sheepshead Bay,New York,NY,New York,Kings,55,2100,3
Gravesend,New York,NY,New York,Kings,58,2100,3
Forest Hills,New York,NY,New York,Queens,61,2990,3
East Village,New York,NY,New York,New York,62,4550,3
Ridgewood,New York,NY,New York,Queens,66,2650,3
Flatlands,New York,NY,New York,Kings,76,2100,3
Park Slope,New York,NY,New York,Kings,80,3600,3
Gramercy,New York,NY,New York,New York,84,5135,3
Bay Ridge,New York,NY,New York,Kings,86,2400,3
Kensington,New York,NY,New York,Kings,90,2500,3
Bath Beach,New York,NY,New York,Kings,93,2147.5,3
Bayside,New York,NY,New York,Queens,99,2400,3
Hamilton Heights,New York,NY,New York,New York,101,2997.5,3
Chelsea,New York,NY,New York,New York,104,5700,3
Woodside,New York,NY,New York,Queens,106,2500,3
Sunnyside,New York,NY,New York,Queens,113,3150,3
Greenwich Village,New York,NY,New York,New York,115,5500,3
Rego Park,New York,NY,New York,Queens,120,2975,3
Morningside Heights,New York,NY,New York,New York,122,3500,3
Ocean Hill,New York,NY,New York,Kings,124,2317.5,3
Dyker Heights,New York,NY,New York,Kings,132,2200,3
Throggs Neck,New York,NY,New York,Bronx,138,2000,3
Whitestone,New York,NY,New York,Queens,143,2300,3
Fort Greene,New York,NY,New York,Kings,144,3962.5,3
Greenwood,New York,NY,New York,Kings,146,2900,3
Greenpoint,New York,NY,New York,Kings,148,3500,3
Glendale,New York,NY,New York,Queens,151,2200,3
Prospect-Lefferts Gardens,New York,NY,New York,Kings,152,2600,3
Fort Hamilton,New York,NY,New York,Kings,158,2500,3
Auburndale,New York,NY,New York,Queens,163,2400,3
Flatiron,New York,NY,New York,New York,164,5822.5,3
Pelham Bay,New York,NY,New York,Bronx,169,2000,3
Clinton Hill,New York,NY,New York,Kings,173,3669,3
West Village,New York,NY,New York,New York,175,6397.5,3
Columbus Circle,New York,NY,New York,New York,184,4597.5,3
Sutton Place,New York,NY,New York,New York,185,7800,3
Gowanus,New York,NY,New York,Kings,192,3900,3
Prospect Heights,New York,NY,New York,Kings,196,3900,3
Turtle Bay,New York,NY,New York,New York,197,5390,3
Tribeca,New York,NY,New York,New York,205,7800,3
Spuyten Duyvil,New York,NY,New York,Bronx,209,3125,3
Battery Park City,New York,NY,New York,New York,211,8925,3
Riverdale,New York,NY,New York,Bronx,217,3395,3
Hunters Point,New York,NY,New York,Queens,229,4795,3
Rockaway Beach,New York,NY,New York,Queens,240,1600,3
city,New York,NY,New York,,,2800,3
metro,New York,NY,New York,,,2800,3
Washington Heights,New York,NY,New York,New York,6,3200,4
Astoria,New York,NY,New York,Queens,7,3150,4
Williamsburg,New York,NY,New York,Kings,8,4495,4
Bedford-Stuyvesant,New York,NY,New York,Kings,9,3450,4
Flatbush,New York,NY,New York,Kings,11,3000,4
Crown Heights,New York,NY,New York,Kings,12,3500,4
Bushwick,New York,NY,New York,Kings,13,3500,4
East Village,New York,NY,New York,New York,18,5500,4
Ridgewood,New York,NY,New York,Queens,21,3500,4
Park Slope,New York,NY,New York,Kings,23,4500,4
Hamilton Heights,New York,NY,New York,New York,27,3547.5,4
city,New York,NY,New York,,,3599,4
metro,New York,NY,New York,,,4000,4
Bedford-Stuyvesant,New York,NY,New York,Kings,2,3763.5,5
Crown Heights,New York,NY,New York,Kings,3,4500,5
Bushwick,New York,NY,New York,Kings,4,4298,5
city,New York,NY,New York,,,4400,5
